Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for bsd-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 02:36:37 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(731296k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2020-10-27T22:21:00.691-0800: 0.586: [GC (Allocation Failure) [PSYoungGen: 131584K->7170K(153088K)] 131584K->7186K(502784K), 0.0060831 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:00.959-0800: 0.854: [GC (Allocation Failure) [PSYoungGen: 138754K->10493K(153088K)] 138770K->10517K(502784K), 0.0078276 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2020-10-27T22:21:00.995-0800: 0.890: [GC (Metadata GC Threshold) [PSYoungGen: 23416K->5520K(153088K)] 23440K->5552K(502784K), 0.0039029 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-10-27T22:21:00.999-0800: 0.894: [Full GC (Metadata GC Threshold) [PSYoungGen: 5520K->0K(153088K)] [ParOldGen: 32K->5389K(349696K)] 5552K->5389K(502784K), [Metaspace: 20482K->20482K(1067008K)], 0.0212628 secs] [Times: user=0.09 sys=0.01, real=0.03 secs] 
2020-10-27T22:21:01.459-0800: 1.354: [GC (Allocation Failure) [PSYoungGen: 131584K->6367K(153088K)] 136973K->11829K(502784K), 0.0040214 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:01.935-0800: 1.830: [GC (Allocation Failure) [PSYoungGen: 137951K->12984K(153088K)] 143413K->18453K(502784K), 0.0076356 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2020-10-27T22:21:02.271-0800: 2.166: [GC (Allocation Failure) [PSYoungGen: 144568K->14331K(155136K)] 150037K->20305K(504832K), 0.0098799 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2020-10-27T22:21:25.979-0800: 25.874: [GC (Metadata GC Threshold) [PSYoungGen: 105559K->13555K(154624K)] 111533K->19537K(504320K), 0.0066395 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2020-10-27T22:21:25.986-0800: 25.880: [Full GC (Metadata GC Threshold) [PSYoungGen: 13555K->0K(154624K)] [ParOldGen: 5982K->16817K(349696K)] 19537K->16817K(504320K), [Metaspace: 33848K->33848K(1081344K)], 0.0471724 secs] [Times: user=0.18 sys=0.00, real=0.05 secs] 
2020-10-27T22:21:26.609-0800: 26.503: [GC (Allocation Failure) [PSYoungGen: 140800K->5265K(156672K)] 157617K->22090K(506368K), 0.0038833 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T22:21:27.043-0800: 26.938: [GC (Allocation Failure) [PSYoungGen: 144017K->4721K(156672K)] 160842K->21554K(506368K), 0.0024267 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
