Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for bsd-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 02:36:37 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(906212k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2020-10-27T22:13:07.307-0800: 0.636: [GC (Allocation Failure) 2020-10-27T22:13:07.307-0800: 0.636: [DefNew: 139776K->7076K(157248K), 0.0118367 secs] 139776K->7076K(506816K), 0.0119409 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:07.597-0800: 0.926: [GC (Allocation Failure) 2020-10-27T22:13:07.597-0800: 0.926: [DefNew: 146852K->10496K(157248K), 0.0137033 secs] 146852K->10496K(506816K), 0.0137880 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
2020-10-27T22:13:07.621-0800: 0.950: [Full GC (Metadata GC Threshold) 2020-10-27T22:13:07.621-0800: 0.950: [Tenured: 0K->5196K(349568K), 0.0188314 secs] 29781K->5196K(506816K), [Metaspace: 20506K->20506K(1067008K)], 0.0189124 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2020-10-27T22:13:08.154-0800: 1.482: [GC (Allocation Failure) 2020-10-27T22:13:08.154-0800: 1.482: [DefNew: 139776K->7103K(157248K), 0.0105730 secs] 144972K->12299K(506816K), 0.0106627 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:08.664-0800: 1.993: [GC (Allocation Failure) 2020-10-27T22:13:08.664-0800: 1.993: [DefNew: 146879K->12977K(157248K), 0.0146814 secs] 152075K->18173K(506816K), 0.0147841 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:09.003-0800: 2.331: [GC (Allocation Failure) 2020-10-27T22:13:09.003-0800: 2.332: [DefNew: 152753K->4486K(157248K), 0.0227862 secs] 157949K->20493K(506816K), 0.0228765 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2020-10-27T22:13:35.859-0800: 29.187: [Full GC (Metadata GC Threshold) 2020-10-27T22:13:35.859-0800: 29.187: [Tenured: 16006K->19287K(349568K), 0.0411204 secs] 69996K->19287K(506816K), [Metaspace: 33847K->33847K(1081344K)], 0.0412459 secs] [Times: user=0.04 sys=0.00, real=0.05 secs] 
2020-10-27T22:13:36.528-0800: 29.856: [GC (Allocation Failure) 2020-10-27T22:13:36.528-0800: 29.856: [DefNew: 139776K->4921K(157248K), 0.0097539 secs] 159063K->24209K(506816K), 0.0098842 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:37.046-0800: 30.374: [GC (Allocation Failure) 2020-10-27T22:13:37.046-0800: 30.374: [DefNew: 144697K->4401K(157248K), 0.0060191 secs] 163985K->23689K(506816K), 0.0061641 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T22:13:37.422-0800: 30.750: [GC (Allocation Failure) 2020-10-27T22:13:37.422-0800: 30.750: [DefNew: 144177K->4448K(157248K), 0.0052052 secs] 163465K->23736K(506816K), 0.0053196 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-27T22:13:37.793-0800: 31.122: [GC (Allocation Failure) 2020-10-27T22:13:37.793-0800: 31.122: [DefNew: 144224K->4365K(157248K), 0.0046908 secs] 163512K->23653K(506816K), 0.0047918 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
